M1021	M1233
M1024	M1095
M1025	M1096
M1026	CNV_M1185
M1031	M1097
M1033	CNV_M1098
M1034	M1186
M1034	M1234
M1036	M1099
M1037	M1141
M1038	M1100
M1042	M1101
M1043	M1102
M1043	M1187
M1045	M1103
CNV_M1049	M1142
M1050	M1188
M1051	M1235
M1054	M1143
M1055	M1144
M1056	M1145
M1061	M1189
M1062	M1146
M1068	M1190
M1069	M1191
M1070	M1236
M1071	M1237
CNV_M1074	M1192
CNV_M1074	M1238
M1075	M1193
M1076	M1239
M1078	M1147
M1084	M1148
M1084	M1240
M1085	M1194
M1086	CNV_M1241
M1087	M1242
M1090	M1149
M1090	M1195
M1092	M1243
CNV_M1093	M1244
M1095	M1245
M1101	M1150
M1101	M1246
M1103	M1151
M1103	M1196
M1104	M1197
M1106	M1198
CNV_M1109	M1199
CNV_M1109	M1247
M1115	M1248
M1137	M1200
M1140	M1249
M1143	M1201
M1145	M1202
M1145	M1250
M1146	M1251
M1149	M1203
M1153	M1252
GL	M644
GL	M646
GL	M647
GL	M663
GL	M667
GL	CNV_M1049
M644	M645
M645	M664
M645	M671
M646	M648
M646	M651
M646	M668
M647	M649
M647	M650
M647	M653
M647	M659
M647	M665
M1160	M1253
M649	M656
M1161	M1254
M650	M652
M650	M655
M651	M672
M651	M797
M651	M849
M651	M1104
M652	M654
M652	M657
M654	M661
M655	M658
M1167	M1255
M656	M666
M657	M710
M657	M875
M658	M660
M658	M662
M660	M679
M660	M699
M661	M669
M661	M673
M661	M690
M661	M746
M661	CNV_M763
M661	M798
M661	M811
M661	M876
M662	M674
M662	CNV_M685
M663	M675
M663	M680
M1175	M1256
M664	M700
M664	M704
M665	M670
M666	M733
M667	M734
M667	M747
M667	M1050
M667	CNV_M1105
M668	M686
CNV_M1180	M1257
M669	M676
M669	M677
M669	M711
M670	M687
M670	M719
M670	M764
M670	CNV_M812
M670	M877
M670	M1051
M670	M1106
M670	M1152
M671	CNV_M678
M671	M688
M671	M832
M671	M1204
M672	M681
M672	M691
